date,price,bedrooms,bathrooms,home sqft,lot sqft,floors,condition,year built,street,city,country
2014-05-02 00:00:00,313000.0,3.0,1.5,1340,7912,1.5,3,1955,18810 Densmore Ave N,Shoreline,USA
2014-05-02 00:00:00,2384000.0,5.0,2.5,3650,9050,2.0,5,1921,709 W Blaine St,Seattle,USA
2014-05-02 00:00:00,342000.0,3.0,2.0,1930,11947,1.0,4,1966,26206-26214 143rd Ave SE,Kent,USA
2014-05-02 00:00:00,420000.0,3.0,2.25,2000,8030,1.0,4,1963,857 170th Pl NE,Bellevue,USA
2014-05-02 00:00:00,550000.0,4.0,2.5,1940,10500,1.0,4,1976,9105 170th Ave NE,Redmond,USA
2014-05-02 00:00:00,490000.0,2.0,1.0,880,6380,1.0,3,1938,522 NE 88th St,Seattle,USA
2014-05-02 00:00:00,335000.0,2.0,2.0,1350,2560,1.0,3,1976,2616 174th Ave NE,Redmond,USA
2014-05-02 00:00:00,482000.0,4.0,2.5,2710,35868,2.0,3,1989,23762 SE 253rd Pl,Maple Valley,USA
2014-05-02 00:00:00,452500.0,3.0,2.5,2430,88426,1.0,4,1985,46611-46625 SE 129th St,North Bend,USA
2014-05-02 00:00:00,640000.0,4.0,2.0,1520,6200,1.5,3,1945,6811 55th Ave NE,Seattle,USA
2014-05-02 00:00:00,463000.0,3.0,1.75,1710,7320,1.0,3,1948,Burke-Gilman Trail,Lake Forest Park,USA
2014-05-02 00:00:00,1400000.0,4.0,2.5,2920,4000,1.5,5,1909,3838-4098 44th Ave NE,Seattle,USA
2014-05-02 00:00:00,588500.0,3.0,1.75,2330,14892,1.0,3,1980,1833 220th Pl NE,Sammamish,USA
2014-05-02 00:00:00,365000.0,3.0,1.0,1090,6435,1.0,4,1955,2504 SW Portland Ct,Seattle,USA
2014-05-02 00:00:00,1200000.0,5.0,2.75,2910,9480,1.5,3,1939,3534 46th Ave NE,Seattle,USA
2014-05-02 00:00:00,242500.0,3.0,1.5,1200,9720,1.0,4,1965,14034 SE 201st St,Kent,USA
2014-05-02 00:00:00,419000.0,3.0,1.5,1570,6700,1.0,4,1956,15424 SE 9th St,Bellevue,USA
2014-05-02 00:00:00,367500.0,4.0,3.0,3110,7231,2.0,3,1997,11224 SE 306th Pl,Auburn,USA
2014-05-02 00:00:00,257950.0,3.0,1.75,1370,5858,1.0,3,1987,1605 S 245th Pl,Des Moines,USA
2014-05-02 00:00:00,275000.0,3.0,1.5,1180,10277,1.0,3,1983,12425 415th Ave SE,North Bend,USA
2014-05-02 00:00:00,750000.0,3.0,1.75,2240,10578,2.0,5,1923,3225 NE 92nd St,Seattle,USA
2014-05-02 00:00:00,435000.0,4.0,1.0,1450,8800,1.0,4,1954,3922 154th Ave SE,Bellevue,USA
2014-05-02 00:00:00,626000.0,3.0,2.25,1750,1572,2.5,3,2005,3140 Franklin Ave E,Seattle,USA
2014-05-02 00:00:00,612500.0,4.0,2.5,2730,12261,2.0,3,1991,10212 NE 156th Pl,Bothell,USA
2014-05-02 00:00:00,495000.0,4.0,1.75,1600,6380,1.0,3,1959,2021 NE 100th St,Seattle,USA
2014-05-02 00:00:00,285000.0,3.0,2.5,2090,10834,1.0,4,1987,27736 23rd Avenue South,Federal Way,USA
2014-05-02 00:00:00,615000.0,3.0,1.75,2360,7291,1.0,4,1948,8436-8438 41st Ave SW,Seattle,USA
