"Serial Number","List Year","Date Recorded","Assessed Value","Sale Amount","Sales Ratio"
"2020177","2020","04/14/2021","133000.00","248400.00","0.5354"
"2020225","2020","05/26/2021","110500.00","239900.00","0.4606"
"2020348","2020","09/13/2021","150500.00","325000.00","0.463"
"2020090","2020","12/14/2020","127400.00","202500.00","0.6291"
"200500","2020","09/07/2021","217640.00","400000.00","0.5441"
"200121","2020","12/15/2020","528490.00","775000.00","0.6819"
"20058","2020","06/01/2021","203530.00","415000.00","0.490433735"
"200046","2020","01/25/2021","158030.00","243000.00","0.6503"
"200016","2020","11/13/2020","65590.00","100000.00","0.6559"
"2020360","2020","08/10/2021","140600.00","190790.00","0.7369"
"20281","2020","04/21/2021","170800.00","307000.00","0.5563"
"20364","2020","06/17/2021","195300.00","365000.00","0.535"
"20423","2020","07/21/2021","219870.00","325000.00","0.6765"
"20097","2020","11/25/2020","264040.00","445000.00","0.5933"
"200008","2020","10/21/2020","82000.00","106000.00","0.7735"
"20062","2020","05/10/2021","189400.00","273750.00","0.6918"
"200305","2020","02/22/2021","97800.00","147000.00","0.6653"
"200400","2020","04/08/2021","180500.00","355000.00","0.5084"
"200423","2020","04/23/2021","147000.00","290000.00","0.5068"
"200483","2020","05/18/2021","219900.00","460000.00","0.478"
"200186","2020","12/11/2020","43400.00","86501.00","0.5017"
"200197","2020","12/18/2020","200900.00","320000.00","0.6278"
"201347","2020","09/22/2021","117950.00","240000.00","0.4914"
"201354","2020","09/23/2021","61950.00","129900.00","0.4769"
"200419","2020","01/15/2021","47530.00","100000.00","0.4753"
"200387","2020","01/06/2021","47530.00","44900.00","1.0585"
"200193","2020","11/18/2020","150290.00","276000.00","0.5445"
"200207","2020","11/23/2020","8400.00","38500.00","0.2181"
"200598","2020","03/19/2021","87500.00","175000.00","0.5"
"201048","2020","07/13/2021","102270.00","190000.00","0.5382"
"201081","2020","07/22/2021","130690.00","190000.00","0.6878"
"20000048","2020","11/04/2020","378680.00","537000.00","0.705176909"
"20093","2020","02/02/2021","194670.00","275000.00","0.7078"
"20188","2020","07/19/2021","286860.00","540000.00","0.5312"
"200164","2020","05/27/2021","125390.00","128000.00","0.9796"
"2000478","2020","08/20/2021","202590.00","425000.00","0.4766"
"200114","2020","01/29/2021","139200.00","292500.00","0.4758"
"200185","2020","04/26/2021","55000.00","250000.00","0.22"
"200003","2020","10/02/2020","44000.00","85000.00","0.5176"
"200142","2020","03/04/2021","35600.00","42750.00","0.8327"
"200192","2020","04/29/2021","83400.00","65000.00","1.283"
"200282","2020","07/15/2021","359800.00","480000.00","0.7495"
"200110","2020","01/14/2021","128200.00","208000.00","0.6163"
"200081","2020","12/14/2020","210350.00","322000.00","0.6532"
"200485","2020","01/13/2021","110300.00","195000.00","0.5656"
"200915","2020","05/10/2021","191600.00","394000.00","0.4862"
"201402","2020","08/24/2021","188600.00","360000.00","0.5238"
"200099","2020","10/20/2020","161400.00","270000.00","0.5977"
"200284","2020","11/24/2020","203400.00","309000.00","0.6582"
"200384","2020","12/21/2020","61300.00","90000.00","0.6811"
"20176","2020","02/03/2021","114170.00","184499.00","0.6188"
"20224","2020","03/17/2021","602980.00","650000.00","0.9276"
"20086","2020","11/16/2020","746220.00","1140000.00","0.6545"
"20129","2020","03/30/2021","351260.00","873000.00","0.4023"
"200108","2020","07/14/2021","211100.00","373500.00","0.5651"
"200030","2020","12/30/2020","148200.00","260000.00","0.57"
"200192","2020","05/10/2021","83020.00","175000.00","0.4744"
"200306","2020","09/29/2021","219810.00","439900.00","0.4996"
"20426","2020","03/19/2021","90680.00","95001.00","0.9545"
"20486","2020","04/19/2021","113530.00","225000.00","0.5045"
"20644","2020","06/24/2021","83850.00","128000.00","0.655"
"20795","2020","08/04/2021","107390.00","260000.00","0.413"
"20913","2020","09/14/2021","87380.00","235000.00","0.3718"
"20035","2020","10/16/2020","91210.00","160000.00","0.57"
"20178","2020","12/02/2020","135990.00","215000.00","0.6325"
"200194","2020","01/04/2021","149030.00","360500.00","0.4133"
"200372","2020","04/05/2021","89580.00","165000.00","0.5429"
"200394","2020","04/13/2021","146250.00","291000.00","0.5025"
"200469","2020","05/13/2021","108350.00","247000.00","0.4386"
"200148","2020","12/07/2020","160060.00","275000.00","0.582"
"200162","2020","01/12/2021","159460.00","243000.00","0.6562"
"200336","2020","05/18/2021","86100.00","124000.00","0.6943"
"200532","2020","09/29/2021","219100.00","475000.00","0.4612"
"200081","2020","01/29/2021","275960.00","370000.00","0.7458"
"200114","2020","04/13/2021","108920.00","144000.00","0.7563"
"200017","2020","10/20/2020","34730.00","290000.00","0.1197"
"200473","2020","04/28/2021","107210.00","205000.00","0.5229"
"200548","2020","05/27/2021","180480.00","330000.00","0.5469"
"200760","2020","07/27/2021","116790.00","252000.00","0.4634"
"200932","2020","09/24/2021","88610.00","189900.00","0.4666"
"200111","2020","11/09/2020","111550.00","206000.00","0.5415"
"200086","2020","01/12/2021","623900.00","650000.00","0.9598"
"200143","2020","05/11/2021","246800.00","575000.00","0.4292"
"200183","2020","07/15/2021","197500.00","400000.00","0.4937"
"200130","2020","11/30/2020","491890.00","765000.00","0.6429"
"20031","2020","04/08/2021","48280.00","69000.00","0.699710145"
"200402","2020","04/08/2021","247000.00","399000.00","0.619"
"200708","2020","07/26/2021","161300.00","315000.00","0.512"
"200826","2020","09/07/2021","172800.00","345000.00","0.5008"
"200120","2020","11/18/2020","58500.00","72500.00","0.8068"
"200095","2020","06/07/2021","322150.00","628000.00","0.5129"
"20000214","2020","07/13/2021","112350.00","199000.00","0.5645"
"20000275","2020","09/20/2021","154210.00","315000.00","0.4895"
"200630","2020","02/16/2021","1964480.00","2350000.00","0.8359"
"200693","2020","03/05/2021","548800.00","870000.00","0.6308"
"200890","2020","04/22/2021","737590.00","1364000.00","0.5407"
"201711","2020","09/09/2021","2623950.00","3900000.00","0.6728"
"200386","2020","12/18/2020","1908690.00","2850000.00","0.6697"
"201798","2020","12/09/2020","1329090.00","1920000.00","0.6922"
"201148","2020","04/01/2021","43610.00","60000.00","0.7268"
"201198","2020","05/10/2021","35980.00","36000.00","0.9994"
"201238","2020","06/21/2021","47180.00","123800.00","0.381098546"
"200557","2020","06/22/2021","7000.00","10000.00","0.7"
"200590","2020","07/07/2021","166040.00","330000.00","0.5031"
"200682","2020","08/11/2021","110810.00","260000.00","0.426192308"
"200790","2020","09/27/2021","297360.00","670000.00","0.4438"
"200053","2020","10/19/2020","123410.00","260000.00","0.474653846"
"200179","2020","12/11/2020","109340.00","160000.00","0.6833"
"200057","2020","10/29/2020","186910.00","252000.00","0.7417"
"20428","2020","02/17/2021","189770.00","245000.00","0.7745"
"20820","2020","05/28/2021","120680.00","240000.00","0.5028"
"201046","2020","07/29/2021","107530.00","350000.00","0.3072"
"201140","2020","08/20/2021","6230.00","16500.00","0.3775"
"200078","2020","05/10/2021","70990.00","110000.00","0.6453"
"200175","2020","03/11/2021","55860.00","102000.00","0.5476"
"200097","2020","12/11/2020","64400.00","66900.00","0.9626"
"200043","2020","12/09/2020","354040.00","645000.00","0.5488"
"20059","2020","02/18/2021","121510.00","229900.00","0.5285"
"20001","2020","10/05/2020","127230.00","190000.00","0.6696"
"200010","2020","10/05/2020","207690.00","345000.00","0.602"
"200052","2020","11/16/2020","149570.00","200000.00","0.7478"
"200206","2020","02/25/2021","1298800.00","2175000.00","0.5971"
"200258","2020","04/05/2021","257800.00","475000.00","0.5427"
"200513","2020","09/08/2021","260200.00","501000.00","0.5193"
"200467","2020","01/19/2021","124900.00","249900.00","0.4997"
"201099","2020","08/04/2021","92900.00","165000.00","0.563"
"201219","2020","09/03/2021","103300.00","210000.00","0.4919"
"200030","2020","10/07/2020","173900.00","250000.00","0.6956"
"200095","2020","03/02/2021","279000.00","435000.00","0.6413"
"200198","2020","06/25/2021","145300.00","250000.00","0.5812"
"200268","2020","08/26/2021","155900.00","284400.00","0.5481"
"200056","2020","12/21/2020","194900.00","307000.00","0.6348"
"200562","2020","03/15/2021","111090.00","150000.00","0.7406"
"200784","2020","05/17/2021","165830.00","325000.00","0.5102"
"200961","2020","07/01/2021","130340.00","305000.00","0.4273"
"201015","2020","07/16/2021","37240.00","114900.00","0.3241"
"201123","2020","08/16/2021","74060.00","145000.00","0.5107"
"201166","2020","08/26/2021","59430.00","135000.00","0.4402"
"200177","2020","06/09/2021","1144200.00","1676250.00","0.682595078"
"200531","2020","04/05/2021","285040.00","400000.00","0.7126"
"200888","2020","07/29/2021","49220.00","100000.00","0.4922"
"200092","2020","11/02/2020","170650.00","325000.00","0.525"
"200217","2020","12/01/2020","106640.00","162900.00","0.6546"
"201770","2020","09/13/2021","206390.00","500000.00","0.4127"
"200378","2020","12/07/2020","87590.00","170000.00","0.5152"
"201265","2020","06/22/2021","165000.00","300000.00","0.55"
"20186","2020","02/19/2021","325100.00","500000.00","0.6502"
"20001","2020","10/01/2020","667500.00","1093500.00","0.6104"
"20217","2020","04/12/2021","84600.00","130000.00","0.6507"
"20016","2020","10/14/2020","129810.00","240000.00","0.5408"
"2000363","2020","03/26/2021","135520.00","255000.00","0.5314"
"2000473","2020","05/18/2021","98900.00","184500.00","0.536"
"2000546","2020","06/21/2021","126630.00","301000.00","0.420697674"
"20329","2020","01/04/2021","63630.00","65000.00","0.9789"
"20572","2020","03/31/2021","117670.00","270000.00","0.4358"
"20918","2020","07/12/2021","63560.00","135000.00","0.4708"
"20961","2020","07/20/2021","104370.00","160000.00","0.6523"
"20059","2020","10/15/2020","127610.00","182500.00","0.6992"
"20066","2020","10/16/2020","174580.00","305000.00","0.5723"
"200310","2020","04/07/2021","978670.00","1700000.00","0.5756"
"200156","2020","12/30/2020","705110.00","1410000.00","0.5"
"200216","2020","04/15/2021","187500.00","395000.00","0.4746"
"200366","2020","01/14/2021","156170.00","250000.00","0.6246"
"200590","2020","03/23/2021","27300.00","50000.00","0.546"
"200693","2020","04/19/2021","185360.00","360000.00","0.5148"
"200993","2020","06/07/2021","116410.00","230000.00","0.5061"
"201064","2020","06/22/2021","109900.00","160000.00","0.6868"
"200243","2020","12/07/2020","103320.00","280000.00","0.369"
"200267","2020","12/11/2020","480620.00","685000.00","0.7016"
"201439","2020","09/20/2021","103250.00","159900.00","0.6457"
"200086","2020","12/03/2020","1385860.00","4800000.00","0.2887"
"20675","2020","07/30/2021","140570.00","300000.00","0.4685"
"20690","2020","08/09/2021","9210.00","21000.00","0.4385"
"20742","2020","08/30/2021","325640.00","508000.00","0.641"
"20079","2020","10/27/2020","249860.00","463000.00","0.5396"
"20140","2020","11/18/2020","232200.00","350000.00","0.6634"
"20200018","2020","01/14/2021","37590.00","38000.00","0.9892"
"20177","2020","02/02/2021","178070.00","245000.00","0.7268"
"20110","2020","12/01/2020","135740.00","203000.00","0.6686"
"200991","2020","03/17/2021","349212.00","445000.00","0.7847"
"201162","2020","04/21/2021","168670.00","295000.00","0.5717"
"202236","2020","05/04/2021","461440.00","805000.00","0.5732"
"202439","2020","06/08/2021","839080.00","1225000.00","0.6849"
"202508","2020","06/18/2021","302270.00","587500.00","0.514502128"
"202953","2020","09/01/2021","147600.00","235000.00","0.628"
"200198","2020","11/04/2020","384990.00","600000.00","0.6416"
"200569","2020","12/09/2020","217540.00","330000.00","0.6592"
"200586","2020","12/11/2020","109310.00","178000.00","0.6141"
"200299","2020","01/20/2021","1100.00","2110040.00","0.000521317"
"200373","2020","01/20/2021","1100.00","2110040.00","0.0005"
"200518","2020","03/02/2021","84400.00","136500.00","0.6183"
"200629","2020","04/16/2021","203700.00","335000.00","0.608"
"200789","2020","06/15/2021","21000.00","25000.00","0.84"
"200071","2020","10/29/2020","133900.00","215000.00","0.6227"
"200102","2020","04/01/2021","124700.00","220000.00","0.5668"
"200250","2020","08/30/2021","416000.00","660000.00","0.6303"
"2020132","2020","02/23/2021","742600.00","1275000.00","0.5824"
"2020248","2020","05/28/2021","246500.00","490000.00","0.503"
"202075","2020","12/23/2020","323500.00","825000.00","0.3921"
"20162","2020","06/14/2021","283200.00","500000.00","0.5664"
"20193","2020","07/13/2021","240300.00","385000.00","0.6241"
"20343","2020","07/13/2021","10390.00","17000.00","0.611176471"
"20076","2020","12/03/2020","153660.00","290000.00","0.529862069"
"200377","2020","08/16/2021","41090.00","89900.00","0.457"
"200106","2020","12/23/2020","53970.00","75000.00","0.7196"
"202000106","2020","01/28/2021","596470.00","833111.00","0.7159"
"200015","2020","10/16/2020","56420.00","56400.00","1.0003"
"200059","2020","02/19/2021","48700.00","65000.00","0.7492"
"200197","2020","07/16/2021","95100.00","175000.00","0.5434"
"200093","2020","01/22/2021","108360.00","178000.00","0.6087"
"200207","2020","06/10/2021","120890.00","234900.00","0.5146"
"200234","2020","07/01/2021","110810.00","185000.00","0.5989"
"200010","2020","10/22/2020","128870.00","193000.00","0.6677"
"200573","2020","10/21/2020","150600.00","230000.00","0.6547"
"20200055","2020","02/17/2021","311000.00","415000.00","0.7493"
"200939","2020","09/20/2021","156380.00","400000.00","0.3909"
"200086","2020","10/29/2020","254560.00","500500.00","0.5086"
"200368","2020","02/25/2021","132440.00","875000.00","0.1513"
"200476","2020","04/07/2021","242410.00","399901.00","0.6061"
"200094","2020","11/18/2020","228250.00","350000.00","0.6521"
"20016","2020","10/05/2020","94840.00","175000.00","0.5419"
"200319","2020","03/05/2021","136600.00","310000.00","0.4406"
"200424","2020","05/10/2021","294800.00","725000.00","0.4066"
"200470","2020","06/09/2021","162400.00","325000.00","0.4996"
"2001788","2020","06/10/2021","151670.00","275000.00","0.5515"
"2000511","2020","12/04/2020","309550.00","405000.00","0.7643"
"2002321","2020","08/06/2021","90520.00","178000.00","0.5085"
"200183","2020","01/11/2021","120500.00","224000.00","0.5379"
"200237","2020","03/02/2021","68900.00","148600.00","0.4636"
"20200704","2020","04/01/2021","189840.00","339000.00","0.56"
"20200951","2020","06/15/2021","295540.00","575000.00","0.5139"
"20201362","2020","09/22/2021","180670.00","385000.00","0.4692"
"200158","2020","03/15/2021","60060.00","125000.00","0.4804"
"200160","2020","03/18/2021","192640.00","350000.00","0.5504"
"200251","2020","06/15/2021","245350.00","399718.00","0.6138"
"200016","2020","10/14/2020","188930.00","340000.00","0.5556"
"200156","2020","08/02/2021","202090.00","390000.00","0.5181"
"200046","2020","12/14/2020","133210.00","289900.00","0.4595"
"20026","2020","10/29/2020","112900.00","180000.00","0.6272"
"2020215","2020","05/10/2021","85400.00","120000.00","0.7116"
"2020065","2020","12/20/2020","55200.00","90000.00","0.6133"
"200061","2020","10/22/2020","109360.00","194000.00","0.5637"
"200217","2020","12/03/2020","103780.00","125000.00","0.8302"
"200283","2020","12/21/2020","86880.00","90000.00","0.9653"
"200312","2020","02/22/2021","323890.00","585000.00","0.5536"
