"Serial Number","List Year","Date Recorded","Assessed Value","Sale Amount","Sales Ratio"
"201277","2020","06/30/2021","329650.00","515000.00","0.64"
"200118","2020","10/22/2020","123000.00","200000.00","0.615"
"200311","2020","03/03/2021","325290.00","400000.00","0.813225"
"201181","2020","09/03/2021","54243.00","152000.00","0.3568"
"2020172","2020","02/23/2021","136500.00","191500.00","0.7127"
"200700","2020","07/22/2021","108300.00","210000.00","0.5157"
"200103","2020","03/10/2021","132400.00","220000.00","0.6018"
"200295","2020","12/01/2020","184200.00","310000.00","0.5941"
"200192","2020","09/03/2021","95000.00","210000.00","0.4523"
"200014","2020","10/21/2020","234470.00","330000.00","0.7105"
"200503","2020","09/02/2021","216200.00","444400.00","0.4864"
"200224","2020","02/02/2021","166500.00","232000.00","0.7176"
"201044","2020","07/12/2021","85330.00","157500.00","0.5417"
"200833","2020","05/26/2021","81830.00","145000.00","0.5643"
"200021","2020","12/04/2020","237780.00","430000.00","0.552976744"
"200069","2020","04/23/2021","318500.00","460000.00","0.6923"
"200066","2020","10/23/2020","119910.00","94000.00","1.275638298"
"200066","2020","08/02/2021","116300.00","50000.00","2.326"
"201301","2020","09/27/2021","182400.00","293650.00","0.6211"
"20109","2020","11/05/2020","57505.00","293000.00","0.1962"
"20146","2020","05/24/2021","136500.00","205000.00","0.6658"
"200812","2020","08/12/2021","141880.00","305000.00","0.4651"
"20047","2020","07/27/2021","141820.00","303000.00","0.468"
"2020163","2020","03/23/2021","116000.00","254900.00","0.455"
"20245","2020","03/30/2021","220710.00","490000.00","0.4504"
"20290","2020","12/29/2020","50435.00","279000.00","0.1807"
"200198","2020","01/06/2021","190440.00","320000.00","0.5951"
"20224","2020","03/08/2021","272919.00","524900.00","0.519944751"
"2020265","2020","07/06/2021","108500.00","325000.00","0.333846154"
"2000227","2020","03/15/2021","139660.00","220000.00","0.6348"
"201586","2020","08/13/2021","355040.00","565000.00","0.6283"
"11319","2001","06/05/2002","165900.00","350000.00","0.474"
"200241","2020","01/27/2021","126940.00","200000.00","0.6347"
"200128","2020","10/23/2020","1449770.00","2100000.00","0.6903"
"200033","2020","10/08/2020","124810.00","211000.00","0.5915"
"200885","2020","09/03/2021","516640.00","225000.00","2.296177778"
"20188","2020","11/30/2020","46515.00","161501.00","0.288016792"
"2020040","2020","11/03/2020","112300.00","226000.00","0.4969"
"200567","2020","01/08/2021","1200.00","7367.00","0.1628"
"200013","2020","11/24/2020","239300.00","450000.00","0.5317"
"200068","2020","11/02/2020","454340.00","1050000.00","0.4327"
"200166","2020","01/15/2021","147630.00","305000.00","0.484"
"200081","2020","10/30/2020","98510.00","127500.00","0.7726"
"200830","2020","05/27/2021","86900.00","173000.00","0.5023"
"200000390","2020","08/26/2021","105620.00","150000.00","0.7041"
"200368","2020","12/15/2020","462980.00","600000.00","0.7716"
"20022","2020","11/23/2020","258300.00","389900.00","0.6624"
"200475","2020","02/03/2021","161840.00","222500.00","0.7273"
"201656","2020","08/26/2021","1440110.00","2339000.00","0.6156"
"20058","2020","10/29/2020","100000.00","129900.00","0.7698"
"20042","2020","12/21/2020","206520.00","430000.00","0.4802"
"200058","2020","11/03/2020","255500.00","410000.00","0.6231"
"200226","2020","07/21/2021","116900.00","255000.00","0.4584"
"200947","2020","05/18/2021","289300.00","620000.00","0.4666"
"201186","2020","04/30/2021","47390.00","26000.00","1.822692308"
"200469","2020","01/19/2021","144500.00","275000.00","0.5254"
"20016","2020","12/09/2020","122330.00","239500.00","0.5107"
"200390","2020","12/22/2020","18200.00","461221.00","0.0394"
"200480","2020","05/19/2021","157170.00","345000.00","0.4555"
"200452","2020","04/27/2021","88100.00","82500.00","1.0678"
"20079","2020","11/17/2020","310940.00","457000.00","0.6803"
"200154","2020","03/10/2021","180000.00","15000.00","12"
"200107","2020","04/05/2021","216400.00","395000.00","0.5478"
"20957","2020","07/02/2021","9445.00","41000.00","0.2303"
"200645","2020","03/01/2021","165100.00","300000.00","0.5503"
"200349","2020","03/17/2021","129500.00","222250.00","0.5826"
"200364","2020","12/14/2020","1669990.00","2600000.00","0.642303846"
"200132","2020","02/11/2021","99000.00","94000.00","1.0531"
"20558","2020","03/25/2021","49350.00","239000.00","0.2064"
"201573","2020","08/11/2021","762650.00","1701000.00","0.4483"
"200228","2020","03/12/2021","76090.00","152000.00","0.5005"
"2020012","2020","10/14/2020","108800.00","219000.00","0.496803653"
"201141","2020","08/20/2021","124694.00","340000.00","0.3667"
"200944","2020","06/21/2021","72660.00","126500.00","0.5743"
"20370","2020","06/02/2021","480760.00","990000.00","0.4856"
"201594","2020","09/28/2021","237300.00","425000.00","0.5583"
"201137","2020","06/07/2021","1036420.00","1605000.00","0.6457"
"200351","2020","07/07/2021","202160.00","349000.00","0.5792"
"20002","2020","10/01/2020","308420.00","430000.00","0.717255814"
"200990","2020","05/10/2021","4060000.00","4475000.00","0.9072"
"200206","2020","12/23/2020","144200.00","270000.00","0.534"
"20305","2020","05/06/2021","510020.00","1010000.00","0.5049"
"201484","2020","09/07/2021","44800.00","105000.00","0.4266"
"200076","2020","11/17/2020","438600.00","785000.00","0.5587"
"200761","2020","08/16/2021","184300.00","331500.00","0.5559"
"200027","2020","10/23/2020","335540.00","720000.00","0.466027778"
"201068","2020","06/15/2021","261000.00","570000.00","0.4578"
"200922","2020","09/20/2021","202250.00","220000.00","0.9193"
"200415","2020","06/02/2021","491420.00","855000.00","0.5747"
"201027","2020","06/07/2021","18200.00","518490.00","0.035101931"
"200736","2020","09/01/2021","225260.00","348650.00","0.646"
"200174","2020","08/05/2021","196710.00","410000.00","0.479780488"
"201318","2020","08/31/2021","103740.00","142500.00","0.728"
"201166","2020","08/11/2021","7560.00","8000.00","0.945"
"200936","2020","09/27/2021","151760.00","264000.00","0.5748"
"200024","2020","10/08/2020","146160.00","145000.00","1.008"
"201242","2020","09/10/2021","154700.00","15000.00","10.3133"
"200170","2020","04/07/2021","183800.00","300000.00","0.612666667"
"200021","2020","11/18/2020","54250.00","386500.00","0.1403"
"20000187","2020","03/01/2021","196550.00","325000.00","0.6047"
"20405","2020","03/09/2021","89480.00","152000.00","0.5886"
"201399","2020","07/14/2021","424620.00","705000.00","0.6022"
"200594","2020","06/10/2021","117580.00","146000.00","0.8053"
"20051","2020","01/08/2021","156990.00","227000.00","0.6915"
"200157","2020","11/02/2020","164200.00","280000.00","0.5864"
"200215","2020","12/16/2020","109700.00","135000.00","0.8125"
"200018","2020","10/08/2020","652890.00","950000.00","0.6872"
"201225","2020","06/02/2021","27860.00","95000.00","0.293263158"
"2020116","2020","01/15/2021","118700.00","315000.00","0.376825397"
"200041","2020","10/20/2020","81970.00","145500.00","0.5633"
"200006","2020","10/05/2020","175000.00","420000.00","0.416666667"
"20061","2020","10/22/2020","181580.00","435000.00","0.4174"
"200104","2020","08/03/2021","156900.00","265000.00","0.592"
"201457","2020","07/22/2021","2691360.00","3425000.00","0.78579854"
"200793","2020","09/22/2021","210700.00","422222.00","0.499"
"200021","2020","10/26/2020","298740.00","510000.00","0.5857"
"200144","2020","11/02/2020","174900.00","281650.00","0.6209"
"200619","2020","08/11/2021","67670.00","106000.00","0.6383"
"200578","2020","06/18/2021","130000.00","173500.00","0.7492"
"200000396","2020","09/01/2021","235120.00","495000.00","0.4749"
"200195","2020","01/14/2021","87290.00","135000.00","0.6465"
"2000503","2020","09/01/2021","343630.00","575000.00","0.597617391"
"200874","2020","04/19/2021","1074290.00","1808000.00","0.5941"
"200218","2020","05/21/2021","173100.00","270000.00","0.6411"
"200169","2020","01/28/2021","180730.00","300000.00","0.6024"
"200734","2020","03/16/2021","2784180.00","5495000.00","0.5066"
"200000348","2020","07/26/2021","95040.00","215000.00","0.442046512"
"200011","2020","10/02/2020","146100.00","275000.00","0.5312"
"200368","2020","07/01/2021","540510.00","861000.00","0.6277"
"201777","2020","09/28/2021","12234130.00","4375000.00","2.7963"
"200614","2020","03/15/2021","181900.00","268000.00","0.6787"
"200074","2020","12/07/2020","115220.00","198900.00","0.5792"
"200130","2020","02/10/2021","103700.00","105000.00","0.9876"
"200453","2020","01/04/2021","7654080.00","13300000.00","0.575494737"
"2000159","2020","03/01/2021","139720.00","260000.00","0.5373"
"200731","2020","04/30/2021","177730.00","285000.00","0.6236"
"200353","2020","03/29/2021","145910.00","311000.00","0.4691"
"2000394","2020","06/29/2021","377400.00","660000.00","0.5718"
"200663","2020","07/01/2021","92240.00","170000.00","0.5425"
"200124","2020","01/11/2021","108430.00","200000.00","0.5421"
"20107","2020","11/09/2020","129160.00","230000.00","0.5615"
"200153","2020","12/14/2020","520510.00","932400.00","0.5582"
"200832","2020","08/18/2021","107050.00","230000.00","0.4654"
"200380","2020","03/30/2021","87800.00","85000.00","1.0329"
"200160","2020","05/24/2021","205770.00","275000.00","0.7482"
"200098","2020","12/14/2020","186620.00","340000.00","0.5488"
"200014","2020","10/05/2020","160700.00","355000.00","0.4526"
"20433","2020","02/17/2021","45605.00","75000.00","0.608"
"200725","2020","09/20/2021","107800.00","190779.00","0.565"
"200230","2020","06/11/2021","165600.00","350000.00","0.4731"
"20668","2020","06/30/2021","167250.00","340000.00","0.4919"
"20545","2020","03/22/2021","326130.00","958490.00","0.3402"
"200092","2020","06/10/2021","187880.00","313000.00","0.6002"
"201266","2020","09/28/2021","211820.00","415000.00","0.5104"
"201018","2020","05/17/2021","540960.00","1425000.00","0.3796"
"200154","2020","11/24/2020","122900.00","241000.00","0.5099"
"201008","2020","07/02/2021","103250.00","110000.00","0.9386"
"20196","2020","03/01/2021","553210.00","825000.00","0.6705"
"200064","2020","11/09/2020","320570.00","590000.00","0.5433"
"20000154","2020","05/10/2021","102760.00","169900.00","0.6048"
"200174","2020","12/08/2020","101080.00","175000.00","0.5776"
"200273","2020","01/25/2021","202400.00","359900.00","0.5623"
